lease_id,property_id,tenant_name,tenant_id,lease_start,lease_end,monthly_rent,escalation_rate,security_deposit,renewal_option,break_clause,tenant_credit_rating,lease_status
LEASE-001,PROP-001,TechStart Solutions,TENANT-001,2022-01-01,2027-12-31,45000,2.5,135000,Yes,No,A,Active
LEASE-002,PROP-001,DataCore Analytics,TENANT-002,2021-06-01,2026-05-31,42000,2.0,126000,Yes,Yes,A-,Active
LEASE-003,PROP-002,Global Finance Corp,TENANT-003,2020-03-15,2027-03-14,190000,3.0,570000,Yes,No,AA,Active
LEASE-004,PROP-002,Legal Associates LLP,TENANT-004,2021-09-01,2026-08-31,95000,2.5,285000,Yes,Yes,A,Active
LEASE-005,PROP-003,Fashion Boutique Ltd,TENANT-005,2022-02-01,2025-01-31,18000,2.0,54000,No,No,B+,Active
LEASE-006,PROP-003,Coffee House Chain,TENANT-006,2021-11-15,2026-11-14,12000,2.5,36000,Yes,Yes,A-,Active
LEASE-007,PROP-004,Multiple Residential Tenants,TENANT-007,2023-01-01,2025-12-31,162000,0,162000,Yes,No,Mixed,Active
LEASE-008,PROP-005,Innovation Startup Hub,TENANT-008,2022-05-01,2025-10-31,38000,2.0,114000,No,Yes,B+,Active
LEASE-009,PROP-005,Design Studio Co,TENANT-009,2023-03-15,2026-03-14,28000,2.5,84000,Yes,No,B,Active
LEASE-010,PROP-006,Logistics Express UK,TENANT-010,2021-01-01,2028-12-31,96000,3.0,288000,Yes,No,A,Active
LEASE-011,PROP-007,Discount Retail Chain,TENANT-011,2022-08-01,2025-07-31,22000,1.5,66000,No,No,B-,Active
LEASE-012,PROP-007,Fast Food Franchise,TENANT-012,2023-01-01,2026-12-31,15000,2.0,45000,Yes,Yes,B,Active
LEASE-013,PROP-008,Professional Services Ltd,TENANT-013,2021-04-01,2026-03-31,63000,2.5,189000,Yes,Yes,A-,Active
LEASE-014,PROP-008,Consulting Group,TENANT-014,2022-10-01,2025-09-30,54000,2.0,162000,No,Yes,B+,Active
LEASE-015,PROP-009,University Student Housing,TENANT-015,2020-09-01,2025-08-31,185000,1.5,185000,Yes,No,AA-,Active
LEASE-016,PROP-010,Tech Unicorn Ltd,TENANT-016,2021-07-01,2027-06-30,160000,3.0,480000,Yes,No,AA,Active
LEASE-017,PROP-010,AI Research Labs,TENANT-017,2022-11-15,2026-11-14,106000,2.5,318000,Yes,Yes,A,Active
LEASE-018,PROP-011,Distribution Company,TENANT-018,2021-02-01,2028-01-31,198000,3.0,594000,Yes,No,A,Active
LEASE-019,PROP-012,Value Store Chain,TENANT-019,2022-06-01,2025-05-31,30000,1.5,90000,No,No,C+,Active
LEASE-020,PROP-013,Multinational Corp HQ,TENANT-020,2020-01-15,2027-01-14,475000,3.0,1425000,Yes,No,AAA,Active
LEASE-021,PROP-014,Various Commercial Tenants,TENANT-021,2022-03-01,2025-02-28,280000,2.0,280000,Yes,Yes,Mixed,Active
LEASE-022,PROP-015,Cloud Services Provider,TENANT-022,2021-05-01,2029-04-30,125000,3.5,375000,Yes,No,AA+,Active
LEASE-023,PROP-016,Luxury Apartment Residents,TENANT-023,2023-01-01,2025-12-31,135000,0,135000,Yes,No,Mixed,Active
LEASE-024,PROP-017,Coworking Members,TENANT-024,2022-09-01,2025-08-31,68000,2.0,204000,Yes,Yes,B+,Active
LEASE-025,PROP-017,Creative Agency,TENANT-025,2023-02-15,2026-02-14,54000,2.5,162000,Yes,No,B,Active
LEASE-026,PROP-018,Furniture Warehouse,TENANT-026,2022-04-01,2025-03-31,85000,1.5,255000,No,No,B-,Active
LEASE-027,PROP-019,Biotech Research Ltd,TENANT-027,2021-08-01,2026-07-31,130000,2.5,390000,Yes,Yes,A,Active
LEASE-028,PROP-019,Pharmaceutical Startup,TENANT-028,2022-12-01,2025-11-30,78000,2.0,234000,No,Yes,B+,Active
LEASE-029,PROP-020,Residential Tenants Tower A,TENANT-029,2023-01-01,2025-12-31,130000,0,130000,Yes,No,Mixed,Active
LEASE-030,PROP-020,Residential Tenants Tower B,TENANT-030,2022-06-01,2026-05-31,86000,0,86000,Yes,Yes,Mixed,Active

