transaction_id,property_id,tenant_id,lease_id,transaction_type,amount,expected_amount,transaction_date,due_date,status,payment_method,reference,fees,notes
TXN-001,PROP-001,TENANT-001,LEASE-001,Rent,45000,45000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-001-DEC,0,On-time payment
TXN-002,PROP-001,TENANT-002,LEASE-002,Rent,42000,42000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-002-DEC,0,On-time payment
TXN-003,PROP-001,TENANT-001,LEASE-001,Service Charge,3500,3500,2024-12-05,2024-12-05,Completed,Bank Transfer,REF-001-SC-DEC,0,Quarterly service charge
TXN-004,PROP-002,TENANT-003,LEASE-003,Rent,190000,190000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-003-DEC,0,On-time payment
TXN-005,PROP-002,TENANT-004,LEASE-004,Rent,95000,95000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-004-DEC,0,On-time payment
TXN-006,PROP-003,TENANT-005,LEASE-005,Rent,18000,18000,2024-12-03,2024-12-01,Completed,Bank Transfer,REF-005-DEC,45,2 days late
TXN-007,PROP-003,TENANT-006,LEASE-006,Rent,12000,12000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-006-DEC,0,On-time payment
TXN-008,PROP-004,TENANT-007,LEASE-007,Rent,162000,162000,2024-12-01,2024-12-01,Completed,Multiple,REF-007-DEC,0,Multiple tenant payments
TXN-009,PROP-005,TENANT-008,LEASE-008,Rent,38000,38000,2024-11-28,2024-12-01,Completed,Bank Transfer,REF-008-NOV,0,Early payment
TXN-010,PROP-005,TENANT-009,LEASE-009,Rent,28000,28000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-009-DEC,0,On-time payment
TXN-011,PROP-006,TENANT-010,LEASE-010,Rent,96000,96000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-010-DEC,0,On-time payment
TXN-012,PROP-007,TENANT-011,LEASE-011,Rent,20000,22000,2024-12-08,2024-12-01,Completed,Bank Transfer,REF-011-DEC,175,7 days late + amount mismatch
TXN-013,PROP-007,TENANT-012,LEASE-012,Rent,15000,15000,2024-12-10,2024-12-01,Completed,Bank Transfer,REF-012-DEC,225,9 days late
TXN-014,PROP-008,TENANT-013,LEASE-013,Rent,63000,63000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-013-DEC,0,On-time payment
TXN-015,PROP-008,TENANT-014,LEASE-014,Rent,54000,54000,2024-11-30,2024-12-01,Completed,Bank Transfer,REF-014-NOV,0,Early payment
TXN-016,PROP-009,TENANT-015,LEASE-015,Rent,185000,185000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-015-DEC,0,On-time payment
TXN-017,PROP-010,TENANT-016,LEASE-016,Rent,160000,160000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-016-DEC,0,On-time payment
TXN-018,PROP-010,TENANT-017,LEASE-017,Rent,106000,106000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-017-DEC,0,On-time payment
TXN-019,PROP-011,TENANT-018,LEASE-018,Rent,198000,198000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-018-DEC,0,On-time payment
TXN-020,PROP-012,TENANT-019,LEASE-019,Rent,28000,30000,2024-12-06,2024-12-01,Completed,Bank Transfer,REF-019-DEC,125,5 days late + amount mismatch
TXN-021,PROP-013,TENANT-020,LEASE-020,Rent,475000,475000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-020-DEC,0,On-time payment
TXN-022,PROP-014,TENANT-021,LEASE-021,Rent,280000,280000,2024-12-01,2024-12-01,Completed,Multiple,REF-021-DEC,0,Multiple tenant payments
TXN-023,PROP-015,TENANT-022,LEASE-022,Rent,125000,125000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-022-DEC,0,On-time payment
TXN-024,PROP-016,TENANT-023,LEASE-023,Rent,135000,135000,2024-12-01,2024-12-01,Completed,Multiple,REF-023-DEC,0,Multiple resident payments
TXN-025,PROP-017,TENANT-024,LEASE-024,Rent,68000,68000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-024-DEC,0,On-time payment
TXN-026,PROP-017,TENANT-025,LEASE-025,Rent,54000,54000,2024-12-01,2024-12-01,Completed,Bank Transfer,REF-025-DEC,0,On-time payment
TXN-027,PROP-018,TENANT-026,LEASE-026,Rent,82000,85000,2024-12-04,2024-12-01,Completed,Bank Transfer,REF-026-DEC,75,3 days late + amount mismatch
